phrase;font_family;size;color_hex;style_tag;overrides
margaux et sarah sont les meilleures amies;HypatiaSansPro;13;#231f20;regular;
du monde elles ne se quittent jamais sauf;HypatiaSansPro;13;#231f20;regular;
quand elles se disputent malheureusement,;HypatiaSansPro;13;#231f20;regular;
elles se disputent très souvent;HypatiaSansPro;13;#231f20;regular;
9;HelveticaNeueLTStd;11.6767;#ffffff;regular;
Enzo et Tom n’ont pas l’air;HypatiaSansPro;13;#231f20;bold;
d’accord. Écris la suite de leur dialogue.;HypatiaSansPro;13;#231f20;bold;
– J’ai gagné le sac de billes, il ne te reste;HypatiaSansPro;13;#231f20;regular;
plus qu’une seule bille.;HypatiaSansPro;13;#231f20;regular;
– Ah non, ce n’est pas ce qu’on avait dit !;HypatiaSansPro;13;#231f20;regular;
7;HelveticaNeueLTStd;11.6767;#ffffff;regular;
Complète ce dialogue entre;HypatiaSansPro;13;#231f20;bold;
deux enfants en ajoutant les points;HypatiaSansPro;13;#231f20;bold;
oubliés.;HypatiaSansPro;13;#231f20;bold;
« Comment t’es-tu cassé le bras;HypatiaSansPro;13;#231f20;regular;
– Je roulais à vélo et je suis tombé;HypatiaSansPro;13;#231f20;regular;
– Es-tu allé à l’hôpital;HypatiaSansPro;13;#231f20;regular;
– Oui, le docteur m’a plâtré;HypatiaSansPro;13;#231f20;regular;
– Est-ce que je peux faire un dessin sur ton;HypatiaSansPro;13;#231f20;regular;
plâtre;HypatiaSansPro;13;#231f20;regular;
– D’accord, tu seras le premier »;HypatiaSansPro;13;#231f20;regular;
8 À l'oral;HypatiaSansPro;12;#a4258f;bold;8 |HelveticaNeueLTStd|11.6767|#ffffff|regular
Entraîne-toi à dire;HypatiaSansPro;13;#231f20;bold;
les phrases suivantes. Fais attention;HypatiaSansPro;13;#231f20;bold;
à la ponctuation.;HypatiaSansPro;13;#231f20;bold;
J’suis le renard ! Je vais vous dévorer !;HypatiaSansPro;13;#231f20;regular;
J’suis le renard ! J’arrive pour déjeuner !;HypatiaSansPro;13;#231f20;regular;
Utiliser la ponctuation;FrankfurterSHOP;11;#ffffff;medium;
Il manque des points et;HypatiaSansPro;11;#231f20;bold;
des points d’interrogation.;HypatiaSansPro;11;#231f20;bold;
Il y a trois phrases.;HypatiaSansPro;11;#231f20;bold;
Recopie la phrase en ajoutant le point;HypatiaSansPro;13;#231f20;bold;
qui convient. Explique pourquoi tu as;HypatiaSansPro;13;#231f20;bold;
choisi ce point.;HypatiaSansPro;13;#231f20;bold;
Où dors-tu;HypatiaSansPro;13;#231f20;regular;
9782210505377_001-144.indb 9;Helvetica;6;#000000;regular;
28/03/2019 12:16;Helvetica;6;#000000;regular;
